Наименование объекта,Объем бюджетных ассигнований на обеспечение деятельности,Фактически начисленные расходы на обеспечение деятельности,Код разреза,Код признака,ОГРН организации,ИНН организации,КПП организации,"Номер реестровой записи, Реестр участников и неучастников бюджетного процесса",Код организации по Сводному реестру,Отчетный период-год
Ростехнадзор,7 608,7 326,OKEI,385,1047796607650,7709561778,770901001,11000498061,100498,2021
Росрезерв,1 105,1 098,OKEI,385,1047710037440,7710474294,771001001,11000171001,100171,2021
ФМБА России,1 414,1 377,OKEI,385,1057746023147,7734521419,773401001,11000388091,100388,2021
Росмолодежь,480,456,OKEI,385,1087746900450,7703672351,770901001,11000091071,100091,2021
ФАДН России,405,403,OKEI,385,1157746452280,7708257207,770401001,11000380071,100380,2021
Ростуризм,265,249,OKEI,385,1057746091369,7708550300,770801001,11000174071,100174,2021
Конституционный Суд Российской Федерации,908,895,OKEI,385,1027739768396,7710169501,783801001,11000436011,100436,2021
Верховный Суд Российской Федерации,4 479,4 539,OKEI,385,1037739667316,7710054483,770401001,11000437001,100437,2021
Судебный департамент при Верховном Суде Российской Федерации,15 444,15 420,OKEI,385,1027710017720,7710276486,770201001,11000438091,100438,2021
Система федеральных судов общей юрисдикции,145 171,139 601,OKEI,385,,,,,,2021
Система федеральных арбитражных судов,28 202,27 674,OKEI,385,,,,,,2021
"Мировые судьи (в части обеспечения заработной платы и социальных выплат, предусмотренных для судей федеральными законами)",14 048,14 084,OKEI,385,,,,,,2021
Генеральная прокуратура Российской Федерации,80 899,81 411,OKEI,385,1037739514196,7710146102,771001001,11000415061,100415,2021
Следственный комитет Российской Федерации,37 353,38 269,OKEI,385,1117746016079,7701903677,770101001,11000417041,100417,2021
Система органов военной прокуратуры,5 487,5 820,OKEI,385,,,,,,2021
Система военных следственных органов Следственного комитета Российской Федерации,5 068,5 068,OKEI,385,,,,,,2021
